"Sample
Number",Unique Sample ID,Sample Matrix ,Treatment,"Time 
Point",Subject or Animal ID,Analyte,Result,Units,LLOQ,ULOQ,Comment
1,A1,feces,PBS,T0,Donor A,2-Methylbutyric acid,21.8,µg/mL,5,2000,
2,A2,feces,PBS,T0,Donor A,2-Methylbutyric acid,19.8,µg/mL,5,2000,
3,A3,feces,PBS,T0,Donor A,2-Methylbutyric acid,18.2,µg/mL,5,2000,
4,B1,feces,PBS,T1,Donor A,2-Methylbutyric acid,39.3,µg/mL,5,2000,
5,B2,feces,PBS,T1,Donor A,2-Methylbutyric acid,36.2,µg/mL,5,2000,
6,B3,feces,PBS,T1,Donor A,2-Methylbutyric acid,36.2,µg/mL,5,2000,
7,C1,feces,tryptophan,T0,Donor A,2-Methylbutyric acid,20.5,µg/mL,5,2000,
8,C2,feces,tryptophan,T0,Donor A,2-Methylbutyric acid,20.2,µg/mL,5,2000,
9,C3,feces,tryptophan,T0,Donor A,2-Methylbutyric acid,19.1,µg/mL,5,2000,
10,D1,feces,tryptophan,T1,Donor A,2-Methylbutyric acid,37.2,µg/mL,5,2000,
11,D2,feces,tryptophan,T1,Donor A,2-Methylbutyric acid,35.4,µg/mL,5,2000,
12,D3,feces,tryptophan,T1,Donor A,2-Methylbutyric acid,36.5,µg/mL,5,2000,
13,E1,feces,inulin,T0,Donor A,2-Methylbutyric acid,18.5,µg/mL,5,2000,
14,E2,feces,inulin,T0,Donor A,2-Methylbutyric acid,22.6,µg/mL,5,2000,
15,E3,feces,inulin,T0,Donor A,2-Methylbutyric acid,19.5,µg/mL,5,2000,
16,F1,feces,inulin,T1,Donor A,2-Methylbutyric acid,21.1,µg/mL,5,2000,
17,F2,feces,inulin,T1,Donor A,2-Methylbutyric acid,22.1,µg/mL,5,2000,
18,F3,feces,inulin,T1,Donor A,2-Methylbutyric acid,19.6,µg/mL,5,2000,
19,G1,feces,PBS,T0,Donor B,2-Methylbutyric acid,9.7,µg/mL,5,2000,
20,G2,feces,PBS,T0,Donor B,2-Methylbutyric acid,8.85,µg/mL,5,2000,
21,G3,feces,PBS,T0,Donor B,2-Methylbutyric acid,9.24,µg/mL,5,2000,
22,H1,feces,PBS,T1,Donor B,2-Methylbutyric acid,27.5,µg/mL,5,2000,
23,H2,feces,PBS,T1,Donor B,2-Methylbutyric acid,27.6,µg/mL,5,2000,
24,H3,feces,PBS,T1,Donor B,2-Methylbutyric acid,26.7,µg/mL,5,2000,
25,I1,feces,tryptophan,T0,Donor B,2-Methylbutyric acid,10.2,µg/mL,5,2000,
26,I2,feces,tryptophan,T0,Donor B,2-Methylbutyric acid,10.0,µg/mL,5,2000,
27,I3,feces,tryptophan,T0,Donor B,2-Methylbutyric acid,10.5,µg/mL,5,2000,
28,J1,feces,tryptophan,T1,Donor B,2-Methylbutyric acid,27.1,µg/mL,5,2000,
29,J2,feces,tryptophan,T1,Donor B,2-Methylbutyric acid,29.1,µg/mL,5,2000,
30,J3,feces,tryptophan,T1,Donor B,2-Methylbutyric acid,30.0,µg/mL,5,2000,
31,K1,feces,inulin,T0,Donor B,2-Methylbutyric acid,9.07,µg/mL,5,2000,
