species,7101,7102,7103,7104,7105,7106,7107,7108,7109,7111,7112,7113,7114,7116,7117,7118,7119,7121,7122,7123,7124,7125,7126,7127,7128
Abiotrophia defectiva,118.0,0.0,28.0,0.0,0.0,41.0,0.0,115.0,0.0,24.0,13.0,136.0,0.0,0.0,0.0,62.0,131.0,13.0,0.0,102.0,0.0,0.0,1689.0,0.0,0.0
Acidaminococcus fermentans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,119.0,0.0,0.0,15.0,0.0,64.0,0.0,0.0
Acidaminococcus intestini,45.0,0.0,0.0,0.0,0.0,11.0,0.0,36395.0,0.0,0.0,0.0,0.0,57.0,126304.0,25.0,200.0,0.0,0.0,19.0,0.0,0.0,0.0,465667.0,0.0,0.0
Acidilutibacter cellobiosedens,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidipropionibacterium acidipropionici,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,0.0,1641.0,0.0,255.0,137.0,0.0,0.0,0.0,0.0,0.0
Acidipropionibacterium jensenii,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter haemolyticus,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
Acinetobacter pittii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinomyces naeslundii,210.0,17.0,715.0,644.0,315.0,164.0,295.0,373.0,0.0,352.0,172.0,564.0,299.0,481.0,467.0,2982.0,1406.0,1266.0,889.0,1317.0,1701.0,1462.0,385.0,1226.0,300.0
Actinomyces oris,214.0,100.0,386.0,856.0,2927.0,748.0,735.0,697.0,169.0,596.0,394.0,3431.0,1343.0,645.0,2192.0,2385.0,1912.0,654.0,3333.0,2377.0,3019.0,3101.0,5549.0,1244.0,753.0
Actinomyces pacaensis,92.0,110.0,286.0,372.0,331.0,123.0,11.0,341.0,0.0,337.0,137.0,1243.0,175.0,734.0,205.0,586.0,363.0,379.0,173.0,359.0,499.0,322.0,737.0,160.0,188.0
Actinomyces sp. Chiba101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Actinomyces sp. HMT 175,0.0,0.0,0.0,0.0,253.0,311.0,0.0,0.0,0.0,0.0,0.0,906.0,0.0,320.0,201.0,283.0,247.0,0.0,207.0,281.0,684.0,162.0,1944.0,351.0,0.0
Actinomyces sp. HMT897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinomyces sp. oral taxon 169,0.0,94.0,265.0,405.0,1439.0,86.0,418.0,127.0,117.0,361.0,103.0,541.0,260.0,81.0,351.0,1464.0,279.0,570.0,944.0,303.0,4932.0,668.0,116.0,252.0,194.0
Actinomyces sp. oral taxon 171,84.0,22.0,19.0,223.0,254.0,81.0,48.0,452.0,0.0,165.0,98.0,740.0,60.0,69.0,57.0,3853.0,240.0,362.0,50.0,393.0,1630.0,784.0,257.0,85.0,72.0
Actinomyces sp. oral taxon 414,0.0,25.0,67.0,308.0,128.0,10.0,53.0,34.0,28.0,56.0,31.0,59.0,57.0,79.0,113.0,1277.0,30.0,146.0,646.0,76.0,376.0,123.0,369.0,34.0,83.0
Actinomyces sp. oral taxon 897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,60.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinomyces viscosus,0.0,0.0,0.0,16.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,71.0,18.0,0.0,16.0,32.0,29.0,42.0,19.0,23.0,24.0
Acutalibacter muris,118.0,42.0,11.0,22.0,483.0,179.0,423.0,55.0,123.0,119.0,213.0,670.0,321.0,138.0,192.0,178.0,28.0,121.0,290.0,726.0,7514.0,4330.0,137.0,469.0,183.0
Adlercreutzia equolifaciens,42637.0,17228.0,0.0,71024.0,344753.0,9126.0,46737.0,96472.0,15181.0,7957.0,74674.0,231224.0,1760.0,851.0,19532.0,253453.0,20546.0,21935.0,29528.0,26115.0,20410.0,67698.0,16005.0,5345.0,13399.0
Adlercreutzia hattorii,53796.0,30517.0,0.0,4831.0,279627.0,882.0,83434.0,48952.0,19432.0,5483.0,63921.0,638173.0,2450.0,398.0,73630.0,18409.0,23481.0,37080.0,47569.0,31995.0,176763.0,24858.0,65923.0,5296.0,46469.0
Aerococcus christensenii,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeromonas salmonicida,0.0,291.0,0.0,0.0,0.0,0.0,558.0,174.0,0.0,159.0,0.0,996.0,0.0,152.0,0.0,786.0,0.0,0.0,1353.0,0.0,31.0,91.0,0.0,122.0,0.0
Afonbuvirus coli,0.0,0.0,0.0,776.0,0.0,30.0,0.0,20440.0,0.0,0.0,0.0,13691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afonbuvirus faecalis,0.0,0.0,0.0,2175.0,0.0,0.0,0.0,1742.0,0.0,0.0,0.0,10175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afonbuvirus intestinihominis,0.0,0.0,0.0,2536.0,0.0,0.0,0.0,4473.0,0.0,0.0,0.0,19384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggregatibacter actinomycetemcomitans,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggregatibacter aphrophilus,0.0,0.0,72.0,0.0,0.0,113.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,20.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0
